seed,noise_model,family,n_candidates,best_set,D_logdet_best,loss_vs_unconstrained_optimum,margin_over_clinical,rank_of_56
2,empirical_full,at_most_one_precordial,6,I+II+V2,69.798,-23.5477,8.11614,27
2,empirical_full,precordial_only,20,V1+V2+V4,86.8294,-6.51625,25.1476,3
2,empirical_full,contains_II,21,II+V2+V4,83.3178,-10.0279,21.6359,6
2,limb_artifact_x4,unconstrained,56,V1+V2+V5,183.364,0,14.3885,1
2,limb_artifact_x4,at_most_one_precordial,6,I+II+V1,154.797,-28.567,-14.1785,33
2,limb_artifact_x4,precordial_only,20,V1+V2+V5,183.364,0,14.3885,1
2,limb_artifact_x4,contains_II,21,II+V1+V5,168.975,-14.3885,0,13
2,chest_artifact_x4,unconstrained,56,I+II+V1,189.016,0,24.0897,1
2,chest_artifact_x4,at_most_one_precordial,6,I+II+V1,189.016,0,24.0897,1
2,chest_artifact_x4,precordial_only,20,V1+V2+V5,147.7,-41.3156,-17.2259,30
2,chest_artifact_x4,contains_II,21,I+II+V1,189.016,0,24.0897,1
2,ar1_rho0.8,unconstrained,56,I+V1+V5,79.3468,0,6.41018,1
2,ar1_rho0.8,at_most_one_precordial,6,I+II+V1,76.536,-2.81083,3.59935,4
2,ar1_rho0.8,precordial_only,20,V1+V2+V5,75.1125,-4.2343,2.17588,5
2,ar1_rho0.8,contains_II,21,I+II+V1,76.536,-2.81083,3.59935,4
2,empirical_full_ar1,unconstrained,56,I+V2+V4,-0.707466,0,29.9729,1
2,empirical_full_ar1,at_most_one_precordial,6,I+II+V2,-22.4141,-21.7067,8.26624,27
2,empirical_full_ar1,precordial_only,20,V1+V2+V4,-6.75997,-6.05251,23.9204,3
2,empirical_full_ar1,contains_II,21,II+V2+V4,-9.02652,-8.31906,21.6539,5
3,identity,unconstrained,56,I+V1+V4,184.548,0,10.8045,1
3,identity,at_most_one_precordial,6,I+II+V1,178.148,-6.39974,4.40476,8
3,identity,precordial_only,20,V1+V2+V5,180.213,-4.33438,6.47013,4
3,identity,contains_II,21,I+II+V1,178.148,-6.39974,4.40476,8
3,empirical_diag,unconstrained,56,V1+V2+V4,178.408,0,29.5208,1
3,empirical_diag,at_most_one_precordial,6,I+II+V2,155.712,-22.6965,6.82438,36
3,empirical_diag,precordial_only,20,V1+V2+V4,178.408,0,29.5208,1
3,empirical_diag,contains_II,21,II+V2+V5,165.254,-13.1546,16.3663,19
3,empirical_full,unconstrained,56,I+V2+V4,89.8242,0,22.0955,1
3,empirical_full,at_most_one_precordial,6,I+II+V4,69.8225,-20.0017,2.09389,30
3,empirical_full,precordial_only,20,V1+V2+V4,82.6645,-7.15964,14.9359,6
3,empirical_full,contains_II,21,II+V2+V5,83.9819,-5.84232,16.2532,4
3,limb_artifact_x4,unconstrained,56,V1+V2+V5,189.904,0,15.1243,1
3,limb_artifact_x4,at_most_one_precordial,6,I+II+V1,160.593,-29.3111,-14.1868,32
3,limb_artifact_x4,precordial_only,20,V1+V2+V5,189.904,0,15.1243,1
3,limb_artifact_x4,contains_II,21,II+V1+V4,175.32,-14.5842,0.540068,14
3,chest_artifact_x4,unconstrained,56,I+II+V1,189.109,0,27.3618,1
3,chest_artifact_x4,at_most_one_precordial,6,I+II+V1,189.109,0,27.3618,1
3,chest_artifact_x4,precordial_only,20,V1+V2+V5,154.167,-34.9424,-7.58058,27
3,chest_artifact_x4,contains_II,21,I+II+V1,189.109,0,27.3618,1
3,ar1_rho0.8,unconstrained,56,I+V1+V4,79.5451,0,10.402,1
3,ar1_rho0.8,at_most_one_precordial,6,I+II+V1,73.3662,-6.17889,4.22314,8
3,ar1_rho0.8,precordial_only,20,V1+V2+V5,76.0656,-3.47955,6.92248,4
3,ar1_rho0.8,contains_II,21,I+II+V1,73.3662,-6.17889,4.22314,8
3,empirical_full_ar1,unconstrained,56,I+V2+V4,-10.0011,0,19.9586,1
3,empirical_full_ar1,at_most_one_precordial,6,I+II+V4,-28.1395,-18.1384,1.82014,31
3,empirical_full_ar1,precordial_only,20,V1+V2+V4,-16.2159,-6.21485,13.7437,5
3,empirical_full_ar1,contains_II,21,II+V2+V5,-14.1495,-4.14844,15.8101,3
4,identity,unconstrained,56,I+V1+V5,185.481,0,8.645,1
4,identity,at_most_one_precordial,6,I+II+V1,175.551,-9.93001,-1.285,12
4,identity,precordial_only,20,V1+V2+V5,180.147,-5.33426,3.31074,4
4,identity,contains_II,21,II+V1+V5,176.836,-8.645,0,8
4,empirical_diag,unconstrained,56,V2+V4+V5,182.945,0,24.33,1
4,empirical_diag,at_most_one_precordial,6,I+II+V2,154.411,-28.5339,-4.20388,44
4,empirical_diag,precordial_only,20,V2+V4+V5,182.945,0,24.33,1
4,empirical_diag,contains_II,21,II+V2+V5,171.717,-11.2272,13.1028,15
4,empirical_full,unconstrained,56,I+V2+V4,95.1736,0,17.9288,1
4,empirical_full,at_most_one_precordial,6,I+II+V4,73.2603,-21.9133,-3.9845,34
4,empirical_full,precordial_only,20,V1+V2+V4,89.6955,-5.47814,12.4507,5
4,empirical_full,contains_II,21,II+V2+V5,92.1508,-3.02281,14.906,2
4,limb_artifact_x4,unconstrained,56,V1+V2+V5,189.808,0,12.3419,1
4,limb_artifact_x4,at_most_one_precordial,6,I+II+V1,152.969,-36.8384,-24.4965,47
