lead_set,index,param,crb_scaled,identifiability_score,one_over_score,rel_diff_crb_vs_1_over_score
L12,40,alpha_ST0,2.3222263550305255,0.4306212432021318,2.3222263550305255,0.0
L12,41,alpha_ST1,2.8215342258953418,0.3544171078352507,2.8215342258953418,0.0
L12,42,alpha_ST2,5.360651762011139,0.1865444808570876,5.360651762011139,0.0
L12,43,alpha_ST3,4.308610363518743,0.23209339337505633,4.308610363518743,0.0
L12,44,alpha_ST4,2.989691465109154,0.33448267544339727,2.989691465109154,0.0
L12,45,alpha_ST5,2.552418612882375,0.3917852639660577,2.552418612882375,0.0
L12,46,global_gain,0.06129623763217797,16.314215009422398,0.06129623763217798,1.1320260707591288e-16
II+V1+V5,0,delta_root,0.10975230271164536,9.111426141347776,0.10975230271164536,0.0
II+V1+V5,1,edge_prox0,0.18352756576600754,5.448772754251924,0.18352756576600754,0.0
II+V1+V5,2,edge_prox1,1.2339829126855453,0.810383992938506,1.2339829126855453,0.0
II+V1+V5,3,edge_leaf0,0.9402895095484394,1.0635022403687517,0.9402895095484394,0.0
II+V1+V5,4,edge_leaf1,0.9335717955695569,1.0711548964372004,0.9335717955695569,0.0
II+V1+V5,5,edge_leaf2,0.9340728521135899,1.0705803061690877,0.9340728521135898,1.1885829056191707e-16
II+V1+V5,6,edge_leaf3,0.9338162179205066,1.0708745262819235,0.9338162179205066,0.0
II+V1+V5,7,edge_leaf4,0.9361477101503919,1.0682074945623168,0.9361477101503919,0.0
II+V1+V5,8,APD0,1.1030970889617595,0.9065385177846902,1.1030970889617595,0.0
II+V1+V5,9,APD1,0.6164574727947758,1.622171916363335,0.6164574727947758,0.0
II+V1+V5,10,APD2,1.036416470886537,0.9648630913252595,1.036416470886537,0.0
II+V1+V5,11,APD3,0.07846699072891032,12.744212447942912,0.07846699072891032,0.0
II+V1+V5,12,APD4,0.041916299361376065,23.857067900451487,0.041916299361376065,0.0
II+V1+V5,13,APD5,0.1354112795990715,7.384909166805162,0.1354112795990715,0.0
II+V1+V5,14,APD6,0.20949802770905654,4.773314627041572,0.20949802770905654,0.0
II+V1+V5,15,APD7,0.1145709830205175,8.728213493820848,0.11457098302051749,1.2112829480854858e-16
II+V1+V5,16,tau_dep0,0.5608388378213761,1.7830434209666737,0.5608388378213761,0.0
II+V1+V5,17,tau_dep1,0.7833729103120683,1.2765312494679386,0.7833729103120683,0.0
II+V1+V5,18,tau_dep2,1.8618172759771239,0.537109636323026,1.861817275977124,1.1926229699877355e-16
II+V1+V5,19,tau_dep3,0.08033137667373066,12.448435983632434,0.08033137667373066,0.0
II+V1+V5,20,tau_dep4,0.061088216862193484,16.36976902200077,0.061088216862193484,0.0
II+V1+V5,21,tau_dep5,0.04189182144426699,23.871007884687067,0.04189182144426699,0.0
II+V1+V5,22,tau_dep6,0.06944722450772806,14.399423549154516,0.06944722450772806,0.0
II+V1+V5,23,tau_dep7,0.06093394221312352,16.4112145658061,0.06093394221312352,0.0
II+V1+V5,24,tau_rep0,0.978270541305988,1.0222121159500552,0.9782705413059881,1.1348834271785515e-16
II+V1+V5,25,tau_rep1,0.42098312804513804,2.3753921080960265,0.4209831280451381,1.3186075054605487e-16
II+V1+V5,26,tau_rep2,2.255514879594129,0.4433577490652361,2.255514879594129,0.0
II+V1+V5,27,tau_rep3,0.16919933200183188,5.910188817939147,0.16919933200183188,0.0
