seed,pair,recon_feature,obs_feature,family,aggregation,unit,n,pearson_r,pearson_p,spearman_rho,spearman_p,recon_mean,recon_sd,obs_mean,obs_sd,ba_bias,ba_sd_diff,ba_loa_lower,ba_loa_upper,ba_loa_width,ba_bias_over_obs_sd,ba_loa_width_over_obs_sd,ba_prop_bias_slope
2,Tptime_range,Tptime_range,obs_Tptime_range,Tptime,range,ms,1594,0.1353641611445878,5.790514088962945e-08,0.16453850693662217,3.865907995297551e-11,230.37641154328733,59.12722699759925,118.24341279799248,70.24788660004651,112.13299874529486,85.47694117631966,-55.401805960291654,279.66780345088137,335.069609411173,1.5962472918754058,4.769817650442329,-0.30113954925366654
2,Tarea_mean,Tarea_mean,obs_Tarea_mean,Tarea,mean,mV*s,1594,0.924220429091042,0.0,0.9443003713849896,0.0,0.0060426676678831245,0.006976090814027663,0.010837868390284819,0.008392654004584867,-0.0047952007224016935,0.0032985031838431824,-0.011260266962734331,0.0016698655179309442,0.012930132480665275,-0.5713568937528103,1.5406488190269259,-0.1915391004850045
2,Tarea_std,Tarea_std,obs_Tarea_std,Tarea,std,mV*s,1594,0.910340669204494,0.0,0.8499389210018712,0.0,0.012133935480050187,0.009779690064709638,0.015577377553764116,0.010303997411850263,-0.0034434420737139274,0.0042830855689502175,-0.011838289788856354,0.0049514056414285,0.016789695430284853,-0.3341850678023023,1.6294351365981148,-0.054661024496793914
2,Tarea_maxabs,Tarea_maxabs,obs_Tarea_maxabs,Tarea,maxabs,mV*s,1594,0.88324553050523,0.0,0.8633958519016351,0.0,0.0283215024631744,0.023917770470557147,0.043005357835947305,0.027245666261525473,-0.014683855372772897,0.012776630865015152,-0.03972605186820259,0.0103583411226568,0.05008439299085939,-0.5389427893531995,1.8382517245168366,-0.1381176428168811
2,Tarea_range,Tarea_range,obs_Tarea_range,Tarea,range,mV*s,1594,0.8712655064716125,0.0,0.8174049852642941,0.0,0.03719441953801757,0.030181909351158727,0.0544123043359473,0.033855549186736354,-0.017217884797929735,0.016630811987349496,-0.04981427629313474,0.015378506697275276,0.06519278299041002,-0.5085690591802663,1.9256158755785509,-0.12259951501970613
2,Tabsarea_mean,Tabsarea_mean,obs_Tabsarea_mean,Tabsarea,mean,mV*s,1594,0.9502045402536728,0.0,0.9553098929266277,0.0,0.021057012426411545,0.009751247820984764,0.022625682722772898,0.010312218585923497,-0.001568670296361355,0.003213915399087546,-0.007867944478572945,0.004730603885850235,0.01259854836442318,-0.1521176343665406,1.2217107559784075,-0.05734630217029234
2,Tabsarea_std,Tabsarea_std,obs_Tabsarea_std,Tabsarea,std,mV*s,1594,0.9067008538558488,0.0,0.881031481714933,0.0,0.01276933813055207,0.008269269798872433,0.013862018642785447,0.008823343513569976,-0.001092680512233375,0.00373117886770751,-0.008405791092940094,0.006220430068473344,0.014626221161413438,-0.12383973383251744,1.6576733229210505,-0.0680008248009127
2,Tabsarea_maxabs,Tabsarea_maxabs,obs_Tabsarea_maxabs,Tabsarea,maxabs,mV*s,1594,0.8903857406587434,0.0,0.8702841053948766,0.0,0.045744091144918446,0.02649691841444323,0.051991397208908406,0.02885633201383772,-0.006247306063989963,0.013160159856644808,-0.03204121938301378,0.01954660725503386,0.051587826638047646,-0.21649688744204007,1.7877471957735065,-0.0901830164602283
2,Tabsarea_range,Tabsarea_range,obs_Tabsarea_range,Tabsarea,range,mV*s,1594,0.8807194150002063,0.0,0.8576149826204275,0.0,0.04040731331047679,0.02571869216594422,0.046214202715119196,0.027971194812226458,-0.005806889404642409,0.01329249828707258,-0.031860186047304666,0.020246407238019848,0.052106593285324514,-0.20760247975192558,1.862866196282336,-0.08921961088692139
2,Twidth_mean,Twidth_mean,obs_Twidth_mean,Twidth,mean,fraction of T window,1594,-0.004014111408364798,0.8727723377287697,-0.05311408615105885,0.03397153489161993,0.701951643375301,0.05335132640355745,0.5144795858030834,0.09871228033549957,0.18747205757221766,0.11239554439691261,-0.032823209445731055,0.4077673245901664,0.44059053403589743,1.899176646867489,4.463381177483034,-1.0994009068681523
