rank_by_mean_pearson_r,pair,family,aggregation,unit,n_fold10,pearson_r_mean,pearson_r_sd,spearman_rho_mean,spearman_rho_sd,ba_bias_mean,ba_bias_sd,ba_sd_diff_mean,ba_sd_diff_sd,ba_loa_lower_mean,ba_loa_lower_sd,ba_loa_upper_mean,ba_loa_upper_sd,ba_loa_width_mean,ba_loa_width_sd,ba_bias_over_obs_sd_mean,ba_bias_over_obs_sd_sd,ba_loa_width_over_obs_sd_mean,ba_loa_width_over_obs_sd_sd,ba_prop_bias_slope_mean,ba_prop_bias_slope_sd,recon_mean_mean,recon_mean_sd,recon_sd_mean,recon_sd_sd,obs_mean_mean,obs_mean_sd,obs_sd_mean,obs_sd_sd,pearson_r_s42,pearson_r_s1,pearson_r_s2,pearson_r_s3,pearson_r_s4,pearson_r_min,pearson_r_max,domain,fidelity_band,pearson_minus_spearman,recon_over_obs_mean
11,Tabsarea_maxabs,Tabsarea,maxabs,mV*s,1594.0,0.8987750180340676,0.0129914166295713,0.8861576606057101,0.0169020543231403,-0.003667707296951,0.001971382964242,0.0126754395851533,0.0008123671217305,-0.0285115688838515,0.0029440664217715,0.0211761542899494,0.0020434353700311,0.0496877231738009,0.0031844791171836,-0.1271023391050622,0.0683171708482105,1.7219001760159192,0.1103563375849919,-0.0804632620529573,0.0243131344572116,0.0483236899119573,0.001971382964242,0.0267368373929827,0.0006261339070795,0.0519913972089084,0.0,0.0288563320138377,0.0,0.8937738983029735,0.9139020215709022,0.8903857406587434,0.8846896365907289,0.9111237930469904,0.8846896365907289,0.9139020215709022,voltage,A_faithful,0.012617357428357456,0.9294554966042985
12,Tarea_maxabs,Tarea,maxabs,mV*s,1594.0,0.8930664692394851,0.0081701300158121,0.8787675712238844,0.0121811922438358,-0.0118963175352446,0.0020842304370698,0.0122916544856961,0.0004286845844876,-0.0359879603272091,0.0025690638881256,0.0121953252567198,0.0018707990448803,0.0481832855839289,0.0016804435711915,-0.4366315516403378,0.0764976865334765,1.7684752180925816,0.0616774629425937,-0.1244137640824083,0.0432354542955256,0.0311090403007026,0.0020842304370698,0.0242288890615581,0.0009960785093672,0.0430053578359473,0.0,0.0272456662615254,0.0,0.8859930917074363,0.9016887235389326,0.88324553050523,0.8947567062033649,0.8996482942424615,0.88324553050523,0.9016887235389326,voltage,A_faithful,0.014298898015600692,0.7233759202603167
13,Tlowamp_mean,Tlowamp,mean,dimensionless (0..1),1594.0,0.8914340343889006,0.0089396982051576,0.9115512102333672,0.0071403801746229,0.0831716963941028,0.0107871787851813,0.0588014221856075,0.0023456196970414,-0.0320790910896878,0.0118085253513434,0.1984224838778936,0.0116429216022542,0.2305015749675814,0.0091948292124026,0.6415956685651083,0.0832134907025955,1.778114653281517,0.0709299299117307,-0.1432989334067182,0.0317278715150549,0.5477622414273526,0.0107871787851813,0.1132192144536761,0.003360554067697,0.4645905450332497,0.0,0.1296325715229836,0.0,0.8940061062830098,0.8920219160381008,0.8816201081493149,0.8849055442701741,0.904616497203903,0.8816201081493149,0.904616497203903,voltage-derived (saturating),A_faithful,-0.020117175844466595,1.179021500293663
14,Tabsarea_range,Tabsarea,range,mV*s,1594.0,0.8904821910642212,0.0138033654131282,0.8759003122544662,0.0185921244560958,-0.0032722651370765,0.0019481221952768,0.0127582582676507,0.0008018386908998,-0.0282784513416719,0.0029852769568649,0.0217339210675189,0.0019021984358599,0.0500123724091908,0.0031432076683275,-0.1169869631613376,0.0696474429624743,1.7879955699042949,0.1123730212251641,-0.0843550927176161,0.0233614556090217,0.0429419375780426,0.0019481221952768,0.0258294868839144,0.0005769564773293,0.0462142027151191,0.0,0.0279711948122264,0.0,0.8862877293821945,0.9066517208082664,0.8807194150002063,0.8754957447883973,0.9032563453420418,0.8754957447883973,0.9066517208082664,voltage,A_faithful,0.014581878809755033,0.9291935174723686
15,Tarea_range,Tarea,range,mV*s,1594.0,0.8886519558399879,0.0116633871934938,0.8521284812912313,0.0222435369196869,-0.0147442251940903,0.0019361822316186,0.0155432492473787,0.0007367896030259,-0.0452089937189526,0.0027825524285916,0.015720543330772,0.001981388123929,0.0609295370497246,0.0028882152438616,-0.4355039439108171,0.0571895089026398,1.7996912917778087,0.0853099510491215,-0.122109185796235,0.0335343503504954,0.0396680791418569,0.0019361822316186,0.0301736435713259,0.0009656916877198,0.0544123043359473,0.0,0.0338555491867363,0.0,0.883466041943143,0.8916070741799351,0.8712655064716125,0.8958332978565461,0.9010878587487026,0.8712655064716125,0.9010878587487026,voltage,A_faithful,0.036523474548756596,0.7290277378613117
16,STmean_range,STmean,range,mV,1594.0,0.8821005289412109,0.0083457042875476,0.8429104246865327,0.0204325982813212,-0.0152638983676286,0.008745499461683,0.0621790799424068,0.0017500209091199,-0.1371348950547459,0.0112516648450142,0.1066070983194887,0.0070638461307389,0.2437419933742347,0.0068600819637503,-0.1175252612696348,0.0673364748908137,1.8767054630316533,0.052819594686945,-0.2331828941374471,0.0466978256940943,0.1704727207590966,0.008745499461683,0.1042468796071276,0.0046421953408322,0.1857366191267252,0.0,0.1298775956992691,0.0,0.8755909494694203,0.8836804596997103,0.8793597369627493,0.8760160077771617,0.8958554907970138,0.8755909494694203,0.8958554907970138,voltage,A_faithful,0.03919010425467828,0.9178196607680563
17,Tpeak_mean,Tpeak,mean,mV,1594.0,0.8597664120438114,0.0171767367166434,0.9294676539600408,0.0216894305095374,-0.0456088755761028,0.0129062511413454,0.0510559571559218,0.002378494881711,-0.1456785516017097,0.0172564750697726,0.054460800449504,0.0088781977599298,0.2001393520512138,0.0093236999363074,-0.4652736697170255,0.1316616284653521,2.041698454685137,0.0951146466539753,-0.2969754458636092,0.0267686497876008,0.0935136763050953,0.0129062511413454,0.0742249961052545,0.0019222253036292,0.1391225518811982,0.0,0.0980259115110505,0.0,0.86565602587603,0.8740308331123061,0.833412903684049,0.8521826161420671,0.8735496814046051,0.833412903684049,0.8740308331123061,voltage,A_faithful,-0.0697012419162294,0.6721676323544584
18,STmean_maxabs,STmean,maxabs,mV,1594.0,0.8434921417674033,0.0108951701214734,0.7713396741242102,0.0237593595674044,-0.0065251325155583,0.0057589157187848,0.04763145093114,0.0012544376887092,-0.0998827763405927,0.0072114462093678,0.086832511309476,0.0051396161833483,0.1867152876500689,0.0049173957397403,-0.0741742082947557,0.0654642665200395,2.1224792914088986,0.0558983185395177,-0.2631072344200411,0.0480133206296299,0.1042886455810539,0.0057589157187848,0.0689656451590739,0.0031456180826706,0.1108137780966123,0.0,0.0879703695606507,0.0,0.8347250610187706,0.8441717556127355,0.8428443316120594,0.8344634532361359,0.8612561073573153,0.8344634532361359,0.8612561073573153,voltage,A_faithful,0.07215246764319305,0.9411162345726584
19,Tpeak_range,Tpeak,range,mV,1594.0,0.832404064522966,0.0100400197881531,0.9002149885032582,0.0086489538803441,-0.1833314131341279,0.0212041745352319,0.1852628488139087,0.0049472107581968,-0.546446596809389,0.0269183631979084,0.179783770541133,0.0190441924471734,0.726230367350522,0.0193930661721314,-0.5608255369042346,0.0648652752140861,2.221597099606371,0.0593249490759549,-0.3639215955056378,0.0311822165575299,0.4599907376563362,0.0212041745352319,0.233342255558547,0.0066297582101602,0.6433221507904642,0.0,0.3268956227387934,0.0,0.830345551697242,0.8404725017193326,0.8245906512515355,0.8216611723864404,0.8449504455602794,0.8216611723864404,0.8449504455602794,voltage,A_faithful,-0.0678109239802922,0.7150239379930186
20,Tpeak_std,Tpeak,std,mV,1594.0,0.8305264460442059,0.0106091148403762,0.900964051378016,0.0095301162600907,-0.040190040038143,0.0066311748764176,0.0549619697060766,0.0015345267344241,-0.1479155006620532,0.0079005140182634,0.0675354205857672,0.0066044700965006,0.2154509212478204,0.0060153447989426,-0.4134101158293313,0.068210799768863,2.216210539329261,0.0618761361701582,-0.3357238879600907,0.0291792885369625,0.1446959699417816,0.0066311748764176,0.0712929161321108,0.0018807610873346,0.1848860099799247,0.0,0.0972159086081356,0.0,0.8258917509561656,0.8367672696312631,0.823090215997616,0.8208420437773245,0.8460409498586599,0.8208420437773245,0.8460409498586599,voltage,A_faithful,-0.07043760533381016,0.7826226005823426
21,Tpeak_maxabs,Tpeak,maxabs,mV,1594.0,0.8239418526771726,0.0143324109401308,0.8689190795963766,0.0150603454550488,-0.1274435874314931,0.0239175285274172,0.1504491663715309,0.0054255530921767,-0.4223239535196937,0.0321718502181014,0.1674367786567075,0.0183094479130944,0.5897607321764013,0.0212681681213329,-0.486058719520807,0.0912193663442496,2.249295959746955,0.0811149369846893,-0.3383135520103599,0.0333656950209877,0.3391395569806775,0.0239175285274171,0.1920486441920885,0.005683889628579,0.4665831444121706,0.0,0.2621979244753319,0.0,0.8214244801595443,0.8382174290849871,0.8114985226342406,0.8091769406868882,0.8393918908202027,0.8091769406868882,0.8393918908202027,voltage,A_faithful,-0.04497722691920403,0.7268577123760993
