seed,class,quartile,n,nrmse_lo,nrmse_hi,nrmse_median,corr_median,recall,mean_p_true,median_p_true,frac_pred_NORM,corr_median_mean,corr_median_std,frac_pred_NORM_mean,frac_pred_NORM_std,mean_p_true_mean,mean_p_true_std,median_p_true_mean,median_p_true_std,n_mean,n_std,nrmse_hi_mean,nrmse_hi_std,nrmse_lo_mean,nrmse_lo_std,nrmse_median_mean,nrmse_median_std,quartile_mean,quartile_std,recall_mean,recall_std
2,NORM,2,228.0,0.33543805,0.37305899,0.35609058000000005,0.9339382710550153,0.9473684210526315,0.8573241829872131,0.9344596862792969,0.9473684210526315,,,,,,,,,,,,,,,,,,,,
2,NORM,3,228.0,0.37305899,0.4186411275,0.392065095,0.9201263617300407,0.9649122807017544,0.8565151691436768,0.9147087335586548,0.9649122807017544,,,,,,,,,,,,,,,,,,,,
2,NORM,4,228.0,0.4186411275,0.96466345,0.475058805,0.8870778644784372,0.9210526315789473,0.7619611620903015,0.8357691764831543,0.9210526315789473,,,,,,,,,,,,,,,,,,,,
2,MI,1,64.0,0.25538835,0.35565175,0.32439366999999997,0.940132485218359,0.34375,0.3475385308265686,0.2860652804374695,0.546875,,,,,,,,,,,,,,,,,,,,
2,MI,2,64.0,0.35565175,0.41317631,0.3789611,0.9203905517141778,0.453125,0.40883558988571167,0.32868117094039917,0.515625,,,,,,,,,,,,,,,,,,,,
2,MI,3,64.0,0.41317631,0.5133621675,0.45341873,0.8855411671165483,0.546875,0.4857103228569031,0.4256720542907715,0.390625,,,,,,,,,,,,,,,,,,,,
2,MI,4,64.0,0.5133621675,0.96089983,0.66330562,0.7389710873759836,0.703125,0.5639790296554565,0.5628284215927124,0.140625,,,,,,,,,,,,,,,,,,,,
2,STTC,1,61.0,0.21651556,0.33283981500000004,0.29807362,0.9485676051134828,0.7704918032786885,0.6254201531410217,0.6884070038795471,0.16393442622950818,,,,,,,,,,,,,,,,,,,,
2,STTC,2,60.0,0.33283981500000004,0.382008415,0.35527636500000004,0.9301383989285645,0.65,0.5304464101791382,0.5235161185264587,0.25,,,,,,,,,,,,,,,,,,,,
2,STTC,3,60.0,0.382008415,0.45382935,0.415735635,0.9132515061415872,0.5666666666666667,0.5039408802986145,0.46081873774528503,0.38333333333333336,,,,,,,,,,,,,,,,,,,,
2,STTC,4,61.0,0.45382935,0.9249007,0.62724,0.7876124144060305,0.5737704918032787,0.518358051776886,0.5936743021011353,0.36065573770491804,,,,,,,,,,,,,,,,,,,,
2,CD,1,46.0,0.24580556,0.36246383,0.320357295,0.9356604218512568,0.6086956521739131,0.5964697003364563,0.8806486129760742,0.32608695652173914,,,,,,,,,,,,,,,,,,,,
2,CD,2,46.0,0.36246383,0.42150524,0.39643164,0.9083485031644386,0.43478260869565216,0.43128296732902527,0.18348804116249084,0.41304347826086957,,,,,,,,,,,,,,,,,,,,
2,CD,3,46.0,0.42150524,0.492974585,0.45623855,0.9002004403565596,0.5434782608695652,0.5474146604537964,0.6882253885269165,0.41304347826086957,,,,,,,,,,,,,,,,,,,,
2,CD,4,46.0,0.492974585,1.0109599,0.69464965,0.7088777812828434,0.717391304347826,0.6645455956459045,0.96551513671875,0.21739130434782608,,,,,,,,,,,,,,,,,,,,
3,NORM,1,228.0,0.22496471,0.3315439,0.311792275,0.9477931337939578,0.9429824561403509,0.8474149107933044,0.912540078163147,0.9429824561403509,,,,,,,,,,,,,,,,,,,,
3,NORM,2,228.0,0.3315439,0.36989997500000005,0.35031477499999997,0.9355435478127494,0.956140350877193,0.8542816638946533,0.9182140827178955,0.956140350877193,,,,,,,,,,,,,,,,,,,,
3,NORM,3,228.0,0.36989997500000005,0.4151861075,0.38999871500000005,0.9199687819037687,0.9780701754385965,0.8731541037559509,0.9321048855781555,0.9780701754385965,,,,,,,,,,,,,,,,,,,,
3,NORM,4,228.0,0.4151861075,0.95204544,0.46895787499999997,0.8834029757439499,0.8947368421052632,0.7632408142089844,0.8347320556640625,0.8947368421052632,,,,,,,,,,,,,,,,,,,,
