seed,quartile,n,nrmse_lo,nrmse_hi,nrmse_median,corr_median,macro_auroc,balanced_accuracy,accuracy,mean_p_true,recall_NORM,n_NORM,recall_MI,n_MI,recall_STTC,n_STTC,recall_CD,n_CD,frac_NORM,frac_MI,frac_STTC,frac_CD,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,corr_median_mean,corr_median_std,frac_CD_mean,frac_CD_std,frac_MI_mean,frac_MI_std,frac_NORM_mean,frac_NORM_std,frac_STTC_mean,frac_STTC_std,macro_auroc_mean,macro_auroc_std,mean_p_true_mean,mean_p_true_std,n_mean,n_std,n_CD_mean,n_CD_std,n_MI_mean,n_MI_std,n_NORM_mean,n_NORM_std,n_STTC_mean,n_STTC_std,nrmse_hi_mean,nrmse_hi_std,nrmse_lo_mean,nrmse_lo_std,nrmse_median_mean,nrmse_median_std,quartile_mean,quartile_std,recall_CD_mean,recall_CD_std,recall_MI_mean,recall_MI_std,recall_NORM_mean,recall_NORM_std,recall_STTC_mean,recall_STTC_std
2,3,398.0,0.38341511500000003,0.44608826749999997,0.4089861,0.9125886937050958,0.8951095940217504,0.6185961693739906,0.7839195979899497,0.6968322396278381,0.9669421487603306,242.0,0.4482758620689655,58.0,0.58,50.0,0.4791666666666667,48.0,0.6080402010050251,0.1457286432160804,0.12562814070351758,0.12060301507537688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,399.0,0.44608826749999997,1.0109599,0.54574883,0.8324826629664596,0.898703299771726,0.7006475667189952,0.7393483709273183,0.6293019652366638,0.8910256410256411,156.0,0.673469387755102,98.0,0.5714285714285714,70.0,0.6666666666666666,75.0,0.39097744360902253,0.24561403508771928,0.17543859649122806,0.18796992481203006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,399.0,0.22098309,0.33574133,0.31164563,0.9459473516977068,0.8942641552691349,0.6830978835978836,0.8095238095238095,0.7249472737312317,0.948,250.0,0.35185185185185186,54.0,0.6825396825396826,63.0,0.75,32.0,0.6265664160401002,0.13533834586466165,0.15789473684210525,0.08020050125313283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,398.0,0.33574133,0.37987371999999997,0.358129415,0.9316491642258071,0.8780349973616883,0.5925135691436648,0.8065326633165829,0.7304811477661133,0.9581749049429658,263.0,0.43137254901960786,51.0,0.6842105263157895,57.0,0.2962962962962963,27.0,0.6608040201005025,0.12814070351758794,0.14321608040201006,0.0678391959798995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,398.0,0.37987371999999997,0.447090435,0.405214995,0.9126028885046285,0.8834302306706501,0.5878900730558193,0.7814070351758794,0.6981245875358582,0.9759036144578314,249.0,0.32075471698113206,53.0,0.5882352941176471,51.0,0.4666666666666667,45.0,0.6256281407035176,0.13316582914572864,0.12814070351758794,0.11306532663316583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,399.0,0.447090435,1.0013747,0.56750864,0.8215146525914933,0.89406588346743,0.6810180128389385,0.706766917293233,0.6257079243659973,0.8533333333333334,150.0,0.5510204081632653,98.0,0.6197183098591549,71.0,0.7,80.0,0.37593984962406013,0.24561403508771928,0.17794486215538846,0.20050125313283207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,399.0,0.19990177,0.33182157,0.30639926,0.946660291353694,0.9043699259612438,0.6619341253062183,0.8195488721804511,0.7344580888748169,0.9496124031007752,258.0,0.37777777777777777,45.0,0.7142857142857143,63.0,0.6060606060606061,33.0,0.6466165413533834,0.11278195488721804,0.15789473684210525,0.08270676691729323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,398.0,0.33182157,0.37608804,0.35438614999999996,0.93155321163557,0.8935991755286852,0.6256054131054131,0.8291457286432161,0.743746817111969,0.9703703703703703,270.0,0.46153846153846156,52.0,0.6538461538461539,52.0,0.4166666666666667,24.0,0.678391959798995,0.1306532663316583,0.1306532663316583,0.06030150753768844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,398.0,0.37608804,0.4460242,0.40431927,0.912084773511737,0.8852874034960223,0.6193342277795939,0.7562814070351759,0.6863759756088257,0.9347826086956522,230.0,0.4603174603174603,63.0,0.5614035087719298,57.0,0.5208333333333334,48.0,0.5778894472361809,0.15829145728643215,0.14321608040201006,0.12060301507537688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,399.0,0.4460242,0.9808811,0.54244417,0.8297702499827514,0.8978789852200144,0.6842695147679325,0.7142857142857143,0.6323567032814026,0.8571428571428571,154.0,0.6041666666666666,96.0,0.6428571428571429,70.0,0.6329113924050633,79.0,0.38596491228070173,0.24060150375939848,0.17543859649122806,0.19799498746867167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN_5SEED,1,,,,,,,,,,,,,,,,,,,,,,0.819548872180451,0.010779856224364169,0.6820204860536103,0.016912307435558487,0.9447569812327116,0.003577694575430316,0.08120300751879699,0.0028575825190454585,0.12230576441102756,0.008931593825165644,0.6345864661654135,0.010242013404362186,0.1619047619047619,0.003800940072206289,0.9067290218681187,0.013339047524419093,0.7315462470054627,0.007495722579358264,399.0,0.0,32.4,1.1401754250991383,48.8,3.563705936241091,253.2,4.086563348340511,64.6,1.5165750888103098,0.3387226665,0.01104622613585451,0.21253154,0.012298450259422928,0.31438387199999995,0.010882076925879997,1.0,0.0,0.7229436202633546,0.0780506378585826,0.35279726576620984,0.018651064810344637,0.952603018446837,0.003926479777420687,0.6997380397380397,0.04150466450714461
MEAN_5SEED,2,,,,,,,,,,,,,,,,,,,,,,0.8045226130653266,0.01753401640438984,0.6025861215735151,0.016730524048631647,0.9295208263377823,0.0035796444101923413,0.06984924623115578,0.006503607590726027,0.13115577889447236,0.005447106379065024,0.6623115577889447,0.00916310679839727,0.13668341708542714,0.0057843539865433825,0.8796473889958015,0.008348895236182683,0.7268010973930359,0.010749374852169296,398.0,0.0,27.8,2.588435821108957,52.2,2.1679483388678795,263.6,3.6469165057620865,54.4,2.302172886644267,0.383436887,0.010193634271217762,0.3387226665,0.01104622613585451,0.361177537,0.010241812831190212,2.0,0.0,0.36154221916179646,0.05027442229306462,0.4368455074337428,0.01960227799157846,0.9543703986911074,0.013794050223962883,0.6575863610074136,0.017815247047559185
MEAN_5SEED,3,,,,,,,,,,,,,,,,,,,,,,0.7713567839195979,0.011650274491828783,0.5999674304610791,0.02013588778463204,0.9105141484804007,0.0031289984881881293,0.11457286432160804,0.005784353986543381,0.14120603015075378,0.01346039722208932,0.6105527638190955,0.020100502512562884,0.13366834170854272,0.007194884956420281,0.8873487964880077,0.004521340871616735,0.6944818139076233,0.0047501307613490844,398.0,0.0,45.6,2.3021728866442674,56.2,5.357238094391549,243.0,8.0,53.2,2.8635642126552696,0.451300644,0.010759922573795962,0.383436887,0.010193634271217762,0.41058805,0.011110369209926689,3.0,0.0,0.4543269908386188,0.05264853699348028,0.41434251427745245,0.05528699533512177,0.9552896088089924,0.016235568209555466,0.5759106079192533,0.035101629354320464
MEAN_5SEED,4,,,,,,,,,,,,,,,,,,,,,,0.7147869674185464,0.02129588549999801,0.6859838971896718,0.015717590647638727,0.8217133464129539,0.009664604117810982,0.19598997493734335,0.004820898261070512,0.24761904761904763,0.005433454483378144,0.381453634085213,0.006725016473683578,0.17493734335839597,0.0020968922970778787,0.8975716034814216,0.004162120563406611,0.6287293672561646,0.005552557665585491,399.0,0.0,78.2,1.923538406167134,98.8,2.1679483388678795,152.2,2.6832815729997472,69.8,0.8366600265340772,1.01143246,0.022339551502391572,0.451300644,0.010759922573795962,0.561948694,0.01946357022830165,4.0,0.0,0.6801493021746186,0.030738518245856127,0.5914738667744326,0.06101853270300444,0.8591348033864591,0.026515590342181445,0.6131776164231767,0.026395745989412252
